Date,Close
1/4/2016,55.72
1/5/2016,56.51
1/6/2016,49.34
1/7/2016,46.39
1/8/2016,44.35
1/11/2016,42.42
1/12/2016,42.81
1/13/2016,39.51
1/14/2016,41.22
1/15/2016,38.92
1/19/2016,38.09
1/20/2016,38.35
1/21/2016,38.88
1/22/2016,39.85
1/25/2016,38.87
1/26/2016,37.35
1/27/2016,35.03
1/28/2016,33.55
1/29/2016,33.58
2/1/2016,34.39
2/2/2016,33.13
2/3/2016,34.43
2/4/2016,35.13
2/5/2016,31.49
2/8/2016,28.63
2/9/2016,30.04
2/10/2016,29.51
2/11/2016,30.66
2/12/2016,32.05
2/16/2016,32.69
2/17/2016,33.82
2/18/2016,31.31
2/19/2016,31.87
2/22/2016,33.14
2/23/2016,32.11
2/24/2016,30.75
2/25/2016,30.58
2/26/2016,30.92
2/29/2016,29.4
3/1/2016,30.17
3/2/2016,34.3
3/3/2016,33.65
3/4/2016,34.01
3/7/2016,36.09
3/8/2016,34.25
3/9/2016,32.84
3/10/2016,33.01
3/11/2016,34.47
3/14/2016,37.03
3/15/2016,34.18
3/16/2016,32.87
3/17/2016,31.5
3/18/2016,31.58
3/21/2016,32.54
3/22/2016,33.4
3/23/2016,29.1
3/24/2016,30.61
3/28/2016,30.79
3/29/2016,30.89
3/30/2016,31.19
3/31/2016,32.06
4/1/2016,32.29
4/4/2016,34.76
4/5/2016,34.5
4/6/2016,37.67
4/7/2016,38.51
4/8/2016,36.46
4/11/2016,34.49
4/12/2016,34.85
4/13/2016,35.59
4/14/2016,36.77
4/15/2016,36.81
4/18/2016,37.16
4/19/2016,37.31
4/20/2016,37.77
4/21/2016,39.42
4/22/2016,39.18
4/25/2016,37.78
4/26/2016,36.96
4/27/2016,36.74
4/28/2016,37.92
4/29/2016,37.69
5/2/2016,38.22
5/3/2016,36.2
5/4/2016,35.16
5/5/2016,34.79
5/6/2016,33.83
5/9/2016,34.87
5/10/2016,34.61
5/11/2016,32.8
5/12/2016,31.66
5/13/2016,32.09
5/16/2016,32.79
5/17/2016,31.85
5/18/2016,31.42
5/19/2016,30.28
5/20/2016,31.21
5/23/2016,32.63
5/24/2016,30.51
5/25/2016,31.73
5/26/2016,31.41
5/27/2016,31.48
5/31/2016,32.91
6/1/2016,33.76
6/2/2016,34.17
6/3/2016,33.35
6/6/2016,34.29
6/7/2016,33.97
6/8/2016,34.94
6/9/2016,32.09
6/10/2016,30.39
6/13/2016,29.13
6/14/2016,28.16
6/15/2016,28.64
6/16/2016,28.95
6/17/2016,28.32
6/20/2016,29.59
6/21/2016,28.9
6/22/2016,28.35
6/23/2016,30.8
6/24/2016,28.54
6/27/2016,26.96
6/28/2016,28.25
6/29/2016,29.33
6/30/2016,30.13
7/1/2016,31.1
7/5/2016,31.28
7/6/2016,32.32
7/7/2016,32.16
7/8/2016,33.97
7/11/2016,33.65
7/12/2016,46.21
7/13/2016,42.43
7/14/2016,41.88
7/15/2016,42.22
7/18/2016,42.58
7/19/2016,41.98
7/20/2016,43.2
7/21/2016,43.39
7/22/2016,44.38
7/25/2016,43.71
7/26/2016,44.33
7/27/2016,45.13
7/28/2016,44.8
7/29/2016,44.86
8/1/2016,44.1
8/2/2016,43.03
8/3/2016,44.01
8/4/2016,43.23
8/5/2016,44
8/8/2016,42.46
8/9/2016,36.86
8/10/2016,36.81
8/11/2016,37.4
8/12/2016,36.71
8/15/2016,36.95
8/16/2016,35.83
8/17/2016,35.95
8/18/2016,36.38
8/19/2016,36.45
8/22/2016,37.66
8/23/2016,38.16
8/24/2016,37.23
8/25/2016,37.41
8/26/2016,38.57
8/29/2016,38.55
8/30/2016,38.03
8/31/2016,37.17
9/1/2016,36.96
9/2/2016,36.47
9/6/2016,40.92
9/7/2016,41.34
9/8/2016,40.27
9/9/2016,39.01
9/12/2016,40.61
9/13/2016,41.08
9/14/2016,41.59
9/15/2016,43.26
9/16/2016,43.91
9/19/2016,45.23
9/20/2016,45.87
9/21/2016,46.25
9/22/2016,45.82
9/23/2016,46.54
9/26/2016,46.45
9/27/2016,46.59
9/28/2016,46.78
9/29/2016,45.53
9/30/2016,46.05
10/3/2016,45.64
10/4/2016,45.92
10/5/2016,45.9
10/6/2016,43.54
10/7/2016,43.5
10/10/2016,45.14
10/11/2016,43.37
10/12/2016,41.62
10/13/2016,42.08
10/14/2016,40.88
10/17/2016,41.14
10/18/2016,41.13
10/19/2016,41.07
10/20/2016,42.3
10/21/2016,43.06
10/24/2016,43.53
10/25/2016,43.74
10/26/2016,44.32
10/27/2016,43.6
10/28/2016,43.37
10/31/2016,43.54
11/1/2016,43.58
11/2/2016,41.21
11/3/2016,38.71
11/4/2016,41.4
11/7/2016,43.76
11/8/2016,44.37
11/9/2016,48.23
11/10/2016,51.37
11/11/2016,51.6
11/14/2016,54.36
11/15/2016,55.53
11/16/2016,52
